Clinic Name,Phone Number,Specialty,Address/Area
Sanjivani Family Clinic,06632404022,General Medicine,Farm Road, Modipada, Sambalpur
Aruna Shakti Clinic,06632403656,Multispeciality,G.M. College Road, Sambalpur
Healing Touches Clinic,06632521322,Pediatrics & General,Main Road, Sambalpur
Seva Nursing Home Clinic,06632548673,Gynecology,Main Road, Sakhipara, Sambalpur
Dr. Kundan Lal Clinic,06632240686,Family Medicine,Mandhi, Sambalpur
J.M.J. Health Clinic,06632545889,General Practitioner,Baraipalli, Sambalpur
Basundhara Clinic,06632533241,Obstetrics & Gynecology,Kansaripara, Sambalpur
Hari Om Wellness Clinic,06632548366,Homeopathy & General,Brooks Hill, Sakhipara, Sambalpur
Amrita Healthcare OPD,06632456733,General Physician,Majhipali, Sason, Sambalpur
Krishna Vikash Clinic,06632521322,ENT & Orthopedics,Johar Town, Sambalpur
